,idx,target,func
10,10,1," static ssize_t nbd_co_receive_request(NBDRequestData *req,
     ssize_t rc;
 
     g_assert(qemu_in_coroutine());
    client->recv_coroutine = qemu_coroutine_self();
    nbd_update_can_read(client);

     rc = nbd_receive_request(client->ioc, request);
     if (rc < 0) {
         if (rc != -EAGAIN) {
"
11,11,1," static void call_console_drivers(unsigned start, unsigned end)
 	start_print = start;
 	while (cur_index != end) {
 		if (msg_level < 0 && ((end - cur_index) > 2)) {
 			/* strip log prefix */
			cur_index += log_prefix(&LOG_BUF(cur_index), &msg_level, NULL);
 			start_print = cur_index;
 		}
 		while (cur_index != end) {
"
12,12,0,"asmlinkage long CVE_2005_3356_VULN_sys_mq_open(const char __user *u_name, int oflag, mode_t mode,
struct mq_attr __user *u_attr) 2
struct dentry * dentry ; 4
char * name ; 6
int fd , error ; 7
if ( IS_ERR ( name = getname ( u_name ) ) )  9
fd = get_unused_fd ( ); 12
if ( fd < 0 )  13
dentry = lookup_one_len ( name , mqueue_mnt -> mnt_root , strlen ( name ) ); 17
if ( IS_ERR ( dentry ) )  18
error = PTR_ERR ( dentry ); 19
if ( dentry -> d_inode )  25
filp = ( oflag & O_EXCL ) ? ERR_PTR ( - EEXIST ) : do_open ( dentry , oflag ); 26
filp = do_create ( mqueue_mnt -> mnt_root , dentry , oflag , mode , u_attr ); 29
filp = ( dentry -> d_inode ) ? do_open ( dentry , oflag ) : ERR_PTR ( - ENOENT ); 33
dput ( dentry ); 36
if ( IS_ERR ( filp ) )  38
error = PTR_ERR ( filp ); 39
fd_install ( fd , filp ); 44
fd = error; 51
return fd ; 56

"
13,13,0,"svn_error_t *svn_config_get_bool(svn_config_t *cfg,svn_boolean_t *valuep,const char *section,const char *option,svn_boolean_t default_value) 822
const char * tmp_value ; 824
svn_config_get ( cfg , & tmp_value , section , option , ( ( void * ) 0 ) ); 825
void svn_config_get(svn_config_t *cfg,const char **valuep,const char *section,const char *option,const char *default_value) 738
if ( cfg )  741
cfg_section_t * sec ; 742
cfg_option_t * opt = find_option ( cfg , section , option , & sec ) ; 743
static cfg_option_t *find_option(svn_config_t *cfg,const char *section,const char *option,cfg_section_t **sectionp) 562
void * sec_ptr ; 564
sec_ptr = apr_hash_get ( cfg -> sections , ( cfg -> tmp_key -> data ) , ( cfg -> tmp_key -> len ) ); 570
if ( sec_ptr != ( ( void * ) 0 ) && option != ( ( void * ) 0 ) )  574
cfg_section_t * sec = sec_ptr ; 575
cfg_option_t * opt ; 576
opt = ( apr_hash_get ( sec -> options , ( cfg -> tmp_key -> data ) , ( cfg -> tmp_key -> len ) ) ); 582
if ( opt == ( ( void * ) 0 ) && apr_strnatcasecmp ( section , ""DEFAULT"" ) != 0 )  584
opt = find_option ( cfg , ""DEFAULT"" , option , & sec ); 587
static cfg_option_t *find_option(svn_config_t *cfg,const char *section,const char *option,cfg_section_t **sectionp) 562
void * sec_ptr ; 564
sec_ptr = apr_hash_get ( cfg -> sections , ( cfg -> tmp_key -> data ) , ( cfg -> tmp_key -> len ) ); 570
if ( sec_ptr != ( ( void * ) 0 ) && option != ( ( void * ) 0 ) )  574
cfg_section_t * sec = sec_ptr ; 575
cfg_option_t * opt ; 576
opt = ( apr_hash_get ( sec -> options , ( cfg -> tmp_key -> data ) , ( cfg -> tmp_key -> len ) ) ); 582
if ( opt == ( ( void * ) 0 ) && apr_strnatcasecmp ( section , ""DEFAULT"" ) != 0 )  584
opt = find_option ( cfg , ""DEFAULT"" , option , & sec ); 587
return opt ; 589
return ( ( void * ) 0 ) ; 591
return opt ; 589
return ( ( void * ) 0 ) ; 591
if ( opt != ( ( void * ) 0 ) )  744
if ( default_value && strchr ( default_value , 37 ) )  751
apr_pool_t * tmp_pool = svn_pool_create_ex ( cfg -> x_pool , ( ( void * ) 0 ) ) ; 752
const char * x_default ; 753
expand_option_value ( cfg , sec , default_value , & x_default , tmp_pool ); 754
static void expand_option_value(svn_config_t *cfg,cfg_section_t *section,const char *opt_value,const char **opt_x_valuep,apr_pool_t *x_pool) 639
const char * parse_from = opt_value ; 642
const char * name_start ; 644
const char * name_end ; 645
while ( parse_from != ( ( void * ) 0 ) && ( * parse_from ) != '\0' && ( name_start = ( strstr ( parse_from , ""%("" ) ) ) != ( ( void * ) 0 ) )  646
name_start += sizeof ( ""%("" ) - 1; 647
if ( ( * name_start ) == '\0' )  648
name_end = ( strstr ( name_start , "")s"" ) ); 652
if ( name_end != ( ( void * ) 0 ) )  653
cfg_option_t * x_opt ; 654
apr_size_t len = ( name_end - name_start ) ; 655
char * name = apr_pstrmemdup ( x_pool , name_start , len ) ; 656
x_opt = find_option ( cfg , section -> name , name , ( ( void * ) 0 ) ); 657
static cfg_option_t *find_option(svn_config_t *cfg,const char *section,const char *option,cfg_section_t **sectionp) 562
svn_stringbuf_set ( cfg -> tmp_key , section ); 566
if ( ! cfg -> section_names_case_sensitive )  567
make_hash_key ( cfg -> tmp_key -> data ); 568
inline static char *make_hash_key(char *key) 551
for (p = key; ( *p) != 0; ++p) 554
* p = ( ( char ) ( tolower ( ( ( unsigned char ) ( * p ) ) ) ) ); 555
return key ; 556
sec_ptr = apr_hash_get ( cfg -> sections , ( cfg -> tmp_key -> data ) , ( cfg -> tmp_key -> len ) ); 570
if ( sectionp != ( ( void * ) 0 ) )  571
* sectionp = sec_ptr; 572
if ( sec_ptr != ( ( void * ) 0 ) && option != ( ( void * ) 0 ) )  574
cfg_section_t * sec = sec_ptr ; 575
svn_stringbuf_set ( cfg -> tmp_key , option ); 578
if ( ! cfg -> option_names_case_sensitive )  579
make_hash_key ( cfg -> tmp_key -> data ); 580
inline static char *make_hash_key(char *key) 551
* p = ( ( char ) ( tolower ( ( ( unsigned char ) ( * p ) ) ) ) ); 555
return key ; 556
opt = ( apr_hash_get ( sec -> options , ( cfg -> tmp_key -> data ) , ( cfg -> tmp_key -> len ) ) ); 582
if ( opt == ( ( void * ) 0 ) && apr_strnatcasecmp ( section , ""DEFAULT"" ) != 0 )  584
opt = find_option ( cfg , ""DEFAULT"" , option , & sec ); 587
return opt ; 589
if ( x_opt != ( ( void * ) 0 ) )  658
make_string_from_option ( & cstring , cfg , section , x_opt , x_pool ); 663
len = ( name_start - ( sizeof ( ""%("" ) - 1 ) - copy_from ); 665
if ( buf == ( ( void * ) 0 ) )  666
buf = svn_stringbuf_ncreate ( copy_from , len , x_pool ); 667
svn_stringbuf_appendbytes ( buf , copy_from , len ); 671
svn_stringbuf_appendcstr ( buf , cstring ); 674
parse_from = name_end + ( sizeof ( "")s"" ) - 1 ); 675
copy_from = parse_from; 676
parse_from = name_end + ( sizeof ( "")s"" ) - 1 ); 683
parse_from = ( ( void * ) 0 ); 691
if ( buf != ( ( void * ) 0 ) )  694
svn_stringbuf_appendcstr ( buf , copy_from ); 696
* opt_x_valuep = ( buf -> data ); 697
* opt_x_valuep = ( ( void * ) 0 ); 700

"
14,14,0," static int read_uids_guids(long long *table_start)
 
 static int parse_exports_table(long long *table_start)
 {
	/*
	 * Note on overflow limits:
	 * Size of SBlk.s.inodes is 2^32 (unsigned int)
	 * Max indexes is (2^32*8)/8K or 2^22
	 * Max length is ((2^32*8)/8K)*8 or 2^25
	 */
 	int res;
	int indexes = SQUASHFS_LOOKUP_BLOCKS((long long) sBlk.s.inodes);
	int length = SQUASHFS_LOOKUP_BLOCK_BYTES((long long) sBlk.s.inodes);
	long long *export_index_table;

	/*
	 * The size of the index table (length bytes) should match the
	 * table start and end points
	 */
	if(length != (*table_start - sBlk.s.lookup_table_start)) {
		ERROR(""parse_exports_table: Bad inode count in super block\n"");
		return FALSE;
	}
 
	export_index_table = alloc_index_table(indexes);

	res = read_fs_bytes(fd, sBlk.s.lookup_table_start, length,
							export_index_table);
 	if(res == FALSE) {
 		ERROR(""parse_exports_table: failed to read export index table\n"");
 		return FALSE;
"
15,15,0," static int read_uint32(BlockDriverState *bs, int64_t offset, uint32_t *result)
     return 0;
 }
 
/* Increase max chunk sizes, if necessary.  This function is used to calculate
 * the buffer sizes needed for compressed/uncompressed chunk I/O.
 */
static void update_max_chunk_size(BDRVDMGState *s, uint32_t chunk,
                                  uint32_t *max_compressed_size,
                                  uint32_t *max_sectors_per_chunk)
{
    uint32_t compressed_size = 0;
    uint32_t uncompressed_sectors = 0;

    switch (s->types[chunk]) {
    case 0x80000005: /* zlib compressed */
        compressed_size = s->lengths[chunk];
        uncompressed_sectors = s->sectorcounts[chunk];
        break;
    case 1: /* copy */
        uncompressed_sectors = (s->lengths[chunk] + 511) / 512;
        break;
    case 2: /* zero */
        uncompressed_sectors = s->sectorcounts[chunk];
        break;
    }

    if (compressed_size > *max_compressed_size) {
        *max_compressed_size = compressed_size;
    }
    if (uncompressed_sectors > *max_sectors_per_chunk) {
        *max_sectors_per_chunk = uncompressed_sectors;
    }
}

 static int dmg_open(BlockDriverState *bs, QDict *options, int flags,
                     Error **errp)
 {
"
16,16,1," static ssize_t fuse_dev_splice_write(struct pipe_inode_info *pipe,
 			pipe->curbuf = (pipe->curbuf + 1) & (pipe->buffers - 1);
 			pipe->nrbufs--;
 		} else {
			pipe_buf_get(pipe, ibuf);
 			*obuf = *ibuf;
 			obuf->flags &= ~PIPE_BUF_FLAG_GIFT;
 			obuf->len = rem;
"
17,17,0," static int aac_send_raw_srb(struct aac_dev* dev, void __user * arg)
 		goto cleanup;
 	}
 
	if ((fibsize < (sizeof(struct user_aac_srb) - sizeof(struct user_sgentry))) ||
	    (fibsize > (dev->max_fib_size - sizeof(struct aac_fibhdr)))) {
 		rcode = -EINVAL;
 		goto cleanup;
 	}
"
18,18,0,"static int process_input(int file_index) 2864
InputFile * ifile = input_files [ file_index ] ; 2866
AVFormatContext * is ; 2867
InputStream * ist ; 2868
AVPacket pkt ; 2869
int ret ; 2870
is = ifile -> ctx; 2873
ret = get_input_packet ( ifile , & pkt ); 2874
static int get_input_packet(InputFile *f,AVPacket *pkt) 2828
if ( nb_input_files > 1 )  2831
return get_input_packet_mt ( f , pkt ) ; 2832
static int get_input_packet_mt(InputFile *f,AVPacket *pkt) 2807
int ret = 0 ; 2809
if ( av_fifo_size ( f -> fifo ) )  2811
if ( f -> finished )  2816
ret = - ( ( int ) ( ( 'E' | 'O' << 8 | 'F' << 16 ) | ( ( unsigned int ) 32 ) << 24 ) ); 2817
ret = - 11; 2820
return ret ; 2824
return av_read_frame ( f -> ctx , pkt ) ; 2835
if ( ret == - 11 )  2875
if ( ret < 0 )  2879
if ( pkt . stream_index >= ifile -> nb_streams )  2908
ist = input_streams [ ifile -> ist_index + pkt . stream_index ]; 2912
if ( ist -> discard )  2913
if ( ! ist -> wrap_correction_done && is -> start_time != ( ( int64_t ) 0x8000000000000000UL ) && ist -> st -> pts_wrap_bits < 64 )  2919
ist -> wrap_correction_done = 1; 2941
ist -> wrap_correction_done = 0; 2944
ist -> wrap_correction_done = 0; 2948
if ( pkt . pts != ( ( int64_t ) 0x8000000000000000UL ) )  2957
pkt . pts *= ist -> ts_scale; 2958
if ( pkt . dts != ( ( int64_t ) 0x8000000000000000UL ) )  2960
pkt . dts *= ist -> ts_scale; 2961
if ( pkt . dts != ( ( int64_t ) 0x8000000000000000UL ) && ist -> next_dts != ( ( int64_t ) 0x8000000000000000UL ) && ! copy_ts )  2963
if ( is -> iformat -> flags & 0x0200 )  2966
pkt . dts = ( ( int64_t ) 0x8000000000000000UL ); 2979
if ( pkt . pts != ( ( int64_t ) 0x8000000000000000UL ) )  2981
pkt . pts = ( ( int64_t ) 0x8000000000000000UL ); 2986
ret = output_packet ( ist , ( & pkt ) ); 2995
static int output_packet(InputStream *ist,const AVPacket *pkt) 1856
int got_output ; 1860
AVPacket avpkt ; 1861
if ( ! ist -> saw_first_ts )  1862
ist -> dts = ( ( ist -> st -> avg_frame_rate . num ? ( - ist -> st -> codec -> has_b_frames * 1000000 ) / av_q2d ( ist -> st -> avg_frame_rate ) : 0 ) ); 1863
ist -> pts = 0; 1864
if ( pkt != ( ( void * ) 0 ) && pkt -> pts != ( ( int64_t ) 0x8000000000000000UL ) && ! ist -> decoding_needed )  1865
ist -> pts = ist -> dts; 1868
ist -> saw_first_ts = 1; 1870
if ( ist -> next_dts == ( ( int64_t ) 0x8000000000000000UL ) )  1872
ist -> next_dts = ist -> dts; 1873
if ( ist -> next_pts == ( ( int64_t ) 0x8000000000000000UL ) )  1875
ist -> next_pts = ist -> pts; 1876
if ( pkt == ( ( void * ) 0 ) )  1878
avpkt . data = ( ( void * ) 0 ); 1881
avpkt . size = 0; 1882
avpkt = * pkt; 1886
if ( pkt -> dts != ( ( int64_t ) 0x8000000000000000UL ) )  1888
ist -> next_dts = ist -> dts = av_rescale_q ( pkt -> dts , ist -> st -> time_base , ( ( AVRational ) ( 1 ) , ( 1000000 ) ) ) 1889
if ( ( ist -> st -> codec -> codec_type ) != AVMEDIA_TYPE_VIDEO || ! ist -> decoding_needed )  1890
ist -> next_pts = ist -> pts = ist -> dts; 1891
while ( ist -> decoding_needed && ( avpkt . size > 0 || ! pkt && got_output ) )  1895
int duration ; 1896
ist -> pts = ist -> next_pts; 1898
ist -> dts = ist -> next_dts; 1899
if ( avpkt . size && avpkt . size != pkt -> size )  1900
ist -> showed_multi_packet_warning = 1; 1902
switch ( ist -> st -> codec -> codec_type )  1904
ret = decode_audio ( ist , & avpkt , & got_output ); 1907
ret = decode_video ( ist , & avpkt , & got_output ); 1912
if ( avpkt . duration )  1913
duration = ( av_rescale_q ( avpkt . duration , ist -> st -> time_base , ( ( AVRational ) ( 1 ) , ( 1000000 ) ) ) ) 1914
if ( ist -> st -> codec -> time_base . num != 0 && ist -> st -> codec -> time_base . den != 0 )  1917
int ticks = ist -> st -> parser ? ist -> st -> parser -> repeat_pict + 1 : ist -> st -> codec -> ticks_per_frame ; 1918
duration = ( ( ( int64_t ) 1000000 ) * ist -> st -> codec -> time_base . num * ticks / ist -> st -> codec -> time_base . den ); 1919
duration = 0; 1922
if ( ist -> dts != ( ( int64_t ) 0x8000000000000000UL ) && duration )  1925
ist -> next_dts += duration; 1926
ist -> next_dts = ( ( int64_t ) 0x8000000000000000UL ); 1929
if ( got_output )  1931
ist -> next_pts += duration; 1933
ret = transcode_subtitles ( ist , & avpkt , & got_output ); 1939
if ( ret < 0 )  1945
avpkt . dts = avpkt . pts = ( ( int64_t ) 0x8000000000000000UL ); 1948
if ( pkt )  1950
if ( ( ist -> st -> codec -> codec_type ) != AVMEDIA_TYPE_AUDIO )  1951
ret = avpkt . size; 1952
avpkt . data += ret; 1954
avpkt . size -= ret; 1955
static int decode_video(InputStream *ist,AVPacket *pkt,int *got_output) 1717
if ( ! ist -> decoded_frame && ! ( ist -> decoded_frame = avcodec_alloc_frame ( ) ) )  1726
update_benchmark ( ( ( void * ) 0 ) ); 1731
static void update_benchmark(const char *fmt,... ) 637
if ( do_benchmark_all )  639
va_list va ; 641
char buf [ 1024 ] ; 642
if ( fmt )  643
vsnprintf ( buf , sizeof ( buf ) , fmt , va ); 645
printf ( ""bench: %8lu %s 
"" , t - current_time , buf ); 647

"
19,19,1," int ssl3_get_client_hello(SSL *s)
     }
 
     /* i bytes of cipher data + 1 byte for compression length later */
    if ((p + i + 1) > (d + n)) {
         /* not enough data */
         al = SSL_AD_DECODE_ERROR;
         SSLerr(SSL_F_SSL3_GET_CLIENT_HELLO, SSL_R_LENGTH_MISMATCH);
"
20,20,1," safe_fprintf(FILE *f, const char *fmt, ...)
 		}
 
 		/* If our output buffer is full, dump it and keep going. */
		if (i > (sizeof(outbuff) - 20)) {
 			outbuff[i] = '\0';
 			fprintf(f, ""%s"", outbuff);
 			i = 0;
"
21,21,0," typedef struct {
 	NMIP6Config *  wwan_ip6_config;
 	NMIP6Config *  ext_ip6_config; /* Stuff added outside NM */
 	gboolean       nm_ipv6ll; /* TRUE if NM handles the device's IPv6LL address */
	guint32        ip6_mtu;
 
 	NMRDisc *      rdisc;
 	gulong         rdisc_changed_id;
"
22,22,0," static int __vcpu_run(struct kvm_vcpu *vcpu)
 	struct kvm *kvm = vcpu->kvm;
 
 	vcpu->srcu_idx = srcu_read_lock(&kvm->srcu);
 
 	r = 1;
 	while (r > 0) {
"
23,23,1," base::string16 GetAppForProtocolUsingAssocQuery(const GURL& url) {
 }
 
 base::string16 GetAppForProtocolUsingRegistry(const GURL& url) {
  base::string16 command_to_launch;
 
   // First, try and extract the application's display name.
  base::string16 cmd_key_path = base::ASCIIToUTF16(url.scheme());
  base::win::RegKey cmd_key_name(HKEY_CLASSES_ROOT, cmd_key_path.c_str(),
                                  KEY_READ);
   if (cmd_key_name.ReadValue(NULL, &command_to_launch) == ERROR_SUCCESS &&
       !command_to_launch.empty()) {
"
24,24,1," delete_principal_2_svc(dprinc_arg *arg, struct svc_req *rqstp)
 {
     static generic_ret              ret;
     char                            *prime_arg;
    gss_buffer_desc                 client_name,
        service_name;
     OM_uint32                       minor_stat;
     kadm5_server_handle_t           handle;
     const char                      *errmsg = NULL;
"
25,25,0,"void stonesoup_handle_taint(char *pva_federalizes)
achlorhydria_unpeculiarly . reunionistic_cabinlike = ((char *)pva_federalizes);
upclimbed_cellule(achlorhydria_unpeculiarly);
void upclimbed_cellule(struct ulicon_crosswicks pochay_mercator)
free(((char *)pochay_mercator . reunionistic_cabinlike));

"
26,26,0," dfaanalyze (struct dfa *d, int searchflag)
       }
 #ifdef DEBUG
     /* ... balance the above nonsyntactic #ifdef goo... */
      fprintf(stderr, ""node %zd:"", i);
       prtok(d->tokens[i]);
       putc('\n', stderr);
       fprintf(stderr, nullable[-1] ? "" nullable: yes\n"" : "" nullable: no\n"");
       fprintf(stderr, "" firstpos:"");
      for (j = nfirstpos[-1]; j-- > 0; )
         {
          fprintf(stderr, "" %zd:"", firstpos[j].index);
           prtok(d->tokens[firstpos[j].index]);
         }
       fprintf(stderr, ""\n lastpos:"");
      for (j = nlastpos[-1]; j-- > 0; )
         {
          fprintf(stderr, "" %zd:"", lastpos[j].index);
           prtok(d->tokens[lastpos[j].index]);
         }
       putc('\n', stderr);
"
27,27,1," static void perf_event_task_output(struct perf_event *event,
 	perf_event_header__init_id(&task_event->event_id.header, &sample, event);
 
 	ret = perf_output_begin(&handle, event,
				task_event->event_id.header.size, 0, 0);
 	if (ret)
 		goto out;
 
"
28,28,0," struct addr_t* MACH0_(get_entrypoint)(struct MACH0_(obj_t)* bin) {
 		}
 		bin->entry = entry->addr;
 	}
 	return entry;
 }
 
 struct lib_t* MACH0_(get_libs)(struct MACH0_(obj_t)* bin) {
 	struct lib_t *libs;
 	int i;
 
	if (!bin->nlibs) {
 		return NULL;
	}
	if (!(libs = calloc ((bin->nlibs + 1), sizeof(struct lib_t)))) {
 		return NULL;
	}
 	for (i = 0; i < bin->nlibs; i++) {
 		strncpy (libs[i].name, bin->libs[i], R_BIN_MACH0_STRING_LENGTH);
 		libs[i].name[R_BIN_MACH0_STRING_LENGTH-1] = '\0';
"
29,29,0," static const struct {
 };
 
 TEST(ICUStringConversionsTest, ConvertBetweenCodepageAndWide) {
  for (size_t i = 0; i < arraysize(kConvertCodepageCases); ++i) {
     SCOPED_TRACE(base::StringPrintf(
                      ""Test[%"" PRIuS ""]: <encoded: %s> <codepage: %s>"", i,
                      kConvertCodepageCases[i].encoded,
"
30,30,0,"unsigned int svn_cstring__similarity(const char *stra,const char *strb,svn_membuf_t *buffer,apr_size_t *rlcs) 1004
svn_string_t stringb ; 1007
stringb . data = strb; 1010
stringb . len = strlen ( strb ); 1011
return svn_string__similarity ( ( & stringa ) , ( & stringb ) , buffer , rlcs ) ; 1012
unsigned int svn_string__similarity(const svn_string_t *stringa,const svn_string_t *stringb,svn_membuf_t *buffer,apr_size_t *rlcs) 1015
const char * stra = stringa -> data ; 1017
const char * strb = stringb -> data ; 1018
const apr_size_t lena = stringa -> len ; 1019
const apr_size_t lenb = stringb -> len ; 1020
const apr_size_t total = lena + lenb ; 1021
const char * enda = stra + lena ; 1022
const char * endb = strb + lenb ; 1023
while ( stra < enda && strb < endb && ( * stra ) == ( * strb ) )  1026
while ( stra < enda && strb < endb )  1032
if ( ( * enda ) != ( * endb ) )  1035
if ( stra < enda && strb < endb )  1042
const apr_size_t resta = ( enda - stra ) ; 1043
const apr_size_t restb = ( endb - strb ) ; 1044
const apr_size_t slots = resta > restb ? restb : resta ; 1045
if ( resta < restb )  1050
pstr = stra; 1051
stra = strb; 1052
strb = pstr; 1053
pstr = enda; 1054
enda = endb; 1055
endb = pstr; 1056
svn_membuf__ensure ( buffer , 2 * ( slots + 1 ) * sizeof ( apr_size_t ) ); 1060
void svn_membuf__ensure(svn_membuf_t *membuf,apr_size_t size) 170
membuf_ensure ( & membuf -> data , & membuf -> size , size , membuf -> pool ); 172
inline static void membuf_ensure(void **data,apr_size_t *size,apr_size_t minimum_size,apr_pool_t *pool) 138
if ( minimum_size > * size )  140
apr_size_t new_size = * size ; 141
if ( new_size == 0 )  142
new_size = minimum_size; 146
while ( new_size < minimum_size )  149
const apr_size_t prev_size = new_size ; 151
new_size *= 2; 152
if ( prev_size > new_size )  154
new_size = minimum_size; 155
membuf_create ( data , size , new_size , pool ); 160
inline static void membuf_create(void **data,apr_size_t *size,apr_size_t minimum_size,apr_pool_t *pool) 117
minimum_size = minimum_size + ( 8 - 1 ) & ( ~ ( 8 - 1 ) ); 123
* data = ( ! minimum_size ? ( ( void * ) 0 ) : apr_palloc ( pool , minimum_size ) ); 124
* size = minimum_size; 125
svn_membuf__nzero ( buffer , ( slots + 2 ) * sizeof ( apr_size_t ) ); 1061
#undef svn_membuf__nzero 196
svn_membuf_t * const _m_b_f_ = membuf 200
const apr_size_t _s_z_ = size ; 201
if ( _s_z_ > _m_b_f_ -> size )  202
memset ( _m_b_f_ -> data , 0 , _m_b_f_ -> size ); 203
memset ( _m_b_f_ -> data , 0 , _s_z_ ); 206
prev = ( buffer -> data ); 1062
curr = prev + slots + 1; 1063
for (pstr = stra; pstr < enda; ++pstr) 1065
for (i = 1; i <= slots; ++i) 1067
if ( ( * pstr ) == strb [ i - 1 ] )  1068
curr [ i ] = prev [ i - 1 ] + 1; 1069
curr [ i ] = ( curr [ i - 1 ] > prev [ i ] ? curr [ i - 1 ] : prev [ i ] ); 1072
apr_size_t * const temp = prev 1077
prev = curr; 1078
curr = temp; 1079
lcs += prev [ slots ]; 1082
if ( rlcs )  1084
* rlcs = lcs; 1085
if ( total )  1088
return ( unsigned int ) ( ( 2000 * lcs + total / 2 ) / total ) ; 1089

"
31,31,1," vmxnet3_io_bar0_write(void *opaque, hwaddr addr,
 {
     VMXNET3State *s = opaque;
 
     if (VMW_IS_MULTIREG_ADDR(addr, VMXNET3_REG_TXPROD,
                         VMXNET3_DEVICE_MAX_TX_QUEUES, VMXNET3_REG_ALIGN)) {
         int tx_queue_idx =
"
32,32,1," prepare_wc_buf (const char *begin, const char *end)
    to decide whether to fall back on a backtracking matcher. */
 char *
 dfaexec (struct dfa *d, char const *begin, char *end,
         int allow_nl, int *count, int *backref)
 {
  int s, s1;		/* Current state. */
   unsigned char const *p; /* Current input character. */
  int **trans, *t;	/* Copy of d->trans so it can be optimized
                                    into a register. */
   unsigned char eol = eolbyte;	/* Likewise for eolbyte.  */
   unsigned char saved_end;
"
